Location,Area,Bedrooms,Bathrooms,Age,Floor,Parking,Furnished,AmenitiesScore,Price
Kukatpally,2294,4,4,25,18,0,Semi-Furnished,5,17028035
Hitech City,1115,2,3,29,5,0,Furnished,1,9529709
Dilsukhnagar,1654,3,3,9,15,1,Unfurnished,3,9183862
Dilsukhnagar,1674,3,3,20,8,0,Furnished,2,9191471
Secunderabad,705,1,1,11,7,0,Furnished,4,4835443
Kokapet,2205,3,3,21,17,2,Furnished,4,16585973
Uppal,1807,3,3,29,7,2,Semi-Furnished,5,9221776
LB Nagar,964,2,3,23,10,1,Semi-Furnished,3,4545915
Banjara Hills,1782,3,4,8,7,1,Unfurnished,7,16024769
Kondapur,1635,3,4,4,14,1,Furnished,10,13048558
Uppal,1570,3,3,12,18,0,Semi-Furnished,4,7231415
Hitech City,2495,4,4,3,12,0,Unfurnished,6,21222287
Jubilee Hills,1628,3,3,11,11,1,Furnished,10,14083589
Kukatpally,1930,4,4,5,7,1,Semi-Furnished,1,12918653
Financial District,1003,2,2,23,8,1,Unfurnished,10,8431485
Shamshabad,948,2,3,23,16,1,Furnished,6,4849630
Kondapur,1167,2,3,25,5,1,Semi-Furnished,8,9071385
Narsingi,1931,3,3,10,15,2,Unfurnished,6,14694421
Manikonda,300,1,1,6,19,2,Semi-Furnished,7,2490202
Kokapet,2032,4,5,29,9,1,Semi-Furnished,10,14769678
Manikonda,1585,3,3,11,4,2,Semi-Furnished,9,9290804
Secunderabad,1223,2,3,10,16,1,Furnished,4,9753253
Gachibowli,1621,3,4,2,15,2,Unfurnished,4,13008488
Banjara Hills,1918,3,3,2,16,1,Semi-Furnished,3,16411127
Uppal,1832,3,4,26,1,1,Semi-Furnished,1,7896483
Kondapur,1395,2,2,16,11,2,Furnished,5,10317409
Madhapur,1625,3,3,20,2,2,Unfurnished,5,14747216
Banjara Hills,1242,2,2,25,2,1,Unfurnished,6,10546637
Jubilee Hills,1276,2,2,8,10,1,Semi-Furnished,10,11283703
Gachibowli,863,2,3,7,13,2,Furnished,7,8829840
Kompally,1552,3,3,24,21,1,Unfurnished,4,8652698
Begumpet,2212,4,4,20,11,2,Semi-Furnished,6,14523886
LB Nagar,946,2,2,15,12,2,Semi-Furnished,3,4687824
Narsingi,1478,3,3,25,20,0,Semi-Furnished,5,10737192
Banjara Hills,1163,2,2,15,24,1,Unfurnished,7,9331789
Kondapur,1503,3,3,4,21,0,Unfurnished,5,9896294
Kompally,502,1,2,25,15,2,Semi-Furnished,5,3376337
Begumpet,2200,4,5,23,4,1,Semi-Furnished,7,15988721
Jubilee Hills,572,1,1,17,2,1,Semi-Furnished,3,5192442
Ameerpet,2256,4,4,16,7,1,Semi-Furnished,2,12226658
Financial District,1290,2,2,28,23,1,Furnished,9,12570532
Hitech City,742,2,3,6,23,2,Semi-Furnished,1,6731507
LB Nagar,1776,3,3,19,15,1,Unfurnished,3,6726423
Narsingi,1017,2,3,27,13,1,Semi-Furnished,10,7652103
Kompally,1324,2,2,20,3,2,Furnished,7,8774579
LB Nagar,2264,4,5,10,17,2,Semi-Furnished,10,11932674
Dilsukhnagar,1912,4,5,8,17,2,Unfurnished,5,11042340
Madhapur,2980,5,5,6,24,1,Semi-Furnished,3,25686178
Dilsukhnagar,1589,3,3,27,19,1,Unfurnished,9,8855375
Kukatpally,1628,3,3,16,24,2,Unfurnished,6,11809952
Dilsukhnagar,2696,5,5,20,10,2,Unfurnished,3,15005124
Shamshabad,959,2,2,0,20,1,Semi-Furnished,7,4784945
Ameerpet,1077,2,3,27,20,1,Unfurnished,10,6441873
Miyapur,1267,3,3,19,12,1,Unfurnished,3,7288541
Madhapur,1935,4,5,23,17,1,Unfurnished,8,18928243
Banjara Hills,2076,4,4,26,16,2,Semi-Furnished,3,19803417
Banjara Hills,618,1,1,4,5,2,Semi-Furnished,5,6589790
Kondapur,2052,4,4,0,18,1,Unfurnished,1,14019726
Narsingi,1504,4,4,2,17,2,Semi-Furnished,5,11222411
Narsingi,1229,2,2,1,10,1,Unfurnished,2,9418213
Madhapur,1476,3,4,1,19,1,Semi-Furnished,7,13841326
